"Isolate";"Replicate";"Medium";"Observed";"plateID";"Metabolite"
"NRRL_3483";"1";"Glycolic_Acid";NA;"PM_01";NA
"NRRL_3483";"1";"Glyoxylic_Acid";FALSE;"PM_01";"C00048[c]"
"NRRL_3483";"1";"D_Cellobiose";NA;"PM_01";"C00185[e]"
"NRRL_3483";"1";"Inosine";FALSE;"PM_01";"C00294[c]"
"NRRL_3483";"1";"Gly_Glu";FALSE;"PM_01";NA
"NRRL_3483";"1";"Tricarballylic_Acid";FALSE;"PM_01";NA
"NRRL_3483";"1";"L_Serine";FALSE;"PM_01";"C00065[e]"
"NRRL_3483";"1";"L_Threonine";NA;"PM_01";"C00188[e]"
"NRRL_3483";"1";"L_Alanine";NA;"PM_01";"C00041[e]"
"NRRL_3483";"1";"Ala_Gly";NA;"PM_01";NA
"NRRL_3483";"1";"Acetoacetic_Acid";FALSE;"PM_01";"C00164[c]"
"NRRL_3483";"1";"N_Acetyl_b_D_Mannosamine";FALSE;"PM_01";NA
"NRRL_3483";"1";"Mono_Methyl_Succinate";FALSE;"PM_01";NA
"NRRL_3483";"1";"Methyl_Pyruvate";FALSE;"PM_01";NA
"NRRL_3483";"1";"D_Malic_Acid";FALSE;"PM_01";NA
"NRRL_3483";"1";"L_Malic_Acid";FALSE;"PM_01";NA
"NRRL_3483";"1";"Gly_Pro";NA;"PM_01";NA
"NRRL_3483";"1";"p_Hydroxy_Phenylacetic_Acid";NA;"PM_01";NA
"NRRL_3483";"1";"m_Hydroxy_Phenylacetic_Acid";NA;"PM_01";NA
"NRRL_3483";"1";"Tyramine";TRUE;"PM_01";"C00483[c]"
"NRRL_3483";"1";"D_Psicose";FALSE;"PM_01";NA
"NRRL_3483";"1";"L_Lyxose";TRUE;"PM_01";NA
"NRRL_3483";"1";"Glucuronamide";FALSE;"PM_01";NA
"NRRL_3483";"1";"Pyruvic_Acid";FALSE;"PM_01";"C00022[e]"
"NRRL_3483";"1";"L_Galactonic_Acid_g_Lactone";FALSE;"PM_01";NA
"NRRL_3483";"1";"D_Galacturonic_Acid";NA;"PM_01";NA
"NRRL_3483";"1";"b_Phenylethylamine";NA;"PM_01";NA
"NRRL_3483";"1";"Ethanolamine";NA;"PM_01";"C00189[c]"
"NRRL_3483";"2";"Negative_Control";FALSE;"PM_01";NA
"NRRL_3483";"2";"L_Arabinose";TRUE;"PM_01";"C00259[e]"
"NRRL_3483";"2";"N_Acetyl_D_Glucosamine";NA;"PM_01";NA
"NRRL_3483";"2";"D_Saccharic_Acid";FALSE;"PM_01";NA
"NRRL_3483";"2";"Succinic_Acid";FALSE;"PM_01";"C00042[e]"
"NRRL_3483";"2";"D_Galactose";NA;"PM_01";"C00124[e]"
"NRRL_3483";"2";"L_Aspartic_Acid";FALSE;"PM_01";NA
"NRRL_3483";"2";"L_Proline";NA;"PM_01";"C00148[e]"
"NRRL_3483";"2";"D_Alanine";NA;"PM_01";"C00133[c]"
"NRRL_3483";"2";"D_Trehalose";NA;"PM_01";"C01083[e]"
"NRRL_3483";"2";"D_Mannose";NA;"PM_01";"C00159[e]"
"NRRL_3483";"2";"Dulcitol";NA;"PM_01";"C01697[e]"
"NRRL_3483";"2";"D_Serine";FALSE;"PM_01";NA
"NRRL_3483";"2";"D_Sorbitol";TRUE;"PM_01";"C00794[e]"
"NRRL_3483";"2";"Glycerol";TRUE;"PM_01";"C00116[e]"
"NRRL_3483";"2";"L_Fucose";FALSE;"PM_01";NA
"NRRL_3483";"2";"D_Glucuronic_Acid";FALSE;"PM_01";NA
"NRRL_3483";"2";"D_Gluconic_Acid";FALSE;"PM_01";NA
"NRRL_3483";"2";"D_L_a_Glycerol_Phosphate";FALSE;"PM_01";NA
"NRRL_3483";"2";"D_Xylose";TRUE;"PM_01";"C00181[e]"
"NRRL_3483";"2";"L_Lactic_Acid";FALSE;"PM_01";NA
"NRRL_3483";"2";"Sodium_Formate";FALSE;"PM_01";NA
"NRRL_3483";"2";"D_Mannitol";NA;"PM_01";"C00392[c]"
"NRRL_3483";"2";"L_Glutamic_Acid";FALSE;"PM_01";"C00025[e]"
"NRRL_3483";"2";"D_Glucose_6_Phosphate";FALSE;"PM_01";NA
"NRRL_3483";"2";"D_Galactonic_Acid_g_Lactone";FALSE;"PM_01";NA
"NRRL_3483";"2";"D_L_Malic_Acid";FALSE;"PM_01";NA
"NRRL_3483";"2";"D_Ribose";TRUE;"PM_01";"C00121[e]"
"NRRL_3483";"2";"Tween_20";FALSE;"PM_01";NA
"NRRL_3483";"2";"L_Rhamnose";TRUE;"PM_01";NA
"NRRL_3483";"2";"D_Fructose";TRUE;"PM_01";"C00095[e]"
"NRRL_3483";"2";"Acetic_Acid";FALSE;"PM_01";"C00033[e]"
"NRRL_3483";"2";"D_Glucose";NA;"PM_01";"C00031[e]"
"NRRL_3483";"2";"D_Maltose";NA;"PM_01";"C00208[e]"
"NRRL_3483";"2";"D_Melibiose";NA;"PM_01";"C05402[e]"
"NRRL_3483";"2";"Thymidine";FALSE;"PM_01";"C00214[c]"
"NRRL_3483";"2";"L_Asparagine";NA;"PM_01";"C00152[e]"
"NRRL_3483";"2";"D_Aspartic_Acid";FALSE;"PM_01";NA
"NRRL_3483";"2";"D_Glucosaminic_Acid";FALSE;"PM_01";NA
"NRRL_3483";"2";"1_2_Propanediol";FALSE;"PM_01";NA
"NRRL_3483";"2";"Tween_40";FALSE;"PM_01";NA
"NRRL_3483";"2";"a_Keto_Glutaric_Acid";FALSE;"PM_01";NA
"NRRL_3483";"2";"a_Keto_Butyric_Acid";FALSE;"PM_01";NA
"NRRL_3483";"2";"a_Methyl_D_Galactoside";FALSE;"PM_01";NA
"NRRL_3483";"2";"a_D_Lactose";FALSE;"PM_01";NA
"NRRL_3483";"2";"Lactulose";FALSE;"PM_01";NA
"NRRL_3483";"2";"Sucrose";NA;"PM_01";"C00089[e]"
"NRRL_3483";"2";"Uridine";FALSE;"PM_01";"C00299[c]"
"NRRL_3483";"2";"L_Glutamine";NA;"PM_01";"C00064[e]"
"NRRL_3483";"2";"m_Tartaric_Acid";FALSE;"PM_01";NA
"NRRL_3483";"2";"a_D_Glucose_1_Phosphate";FALSE;"PM_01";NA
"NRRL_3483";"2";"D_Fructose_6_Phosphate";FALSE;"PM_01";NA
"NRRL_3483";"2";"Tween_80";FALSE;"PM_01";NA
"NRRL_3483";"2";"a_Hydroxy_Glutaric_Acid_g_Lactone";FALSE;"PM_01";NA
"NRRL_3483";"2";"a_Hydroxy_Butyric_Acid";FALSE;"PM_01";NA
"NRRL_3483";"2";"b_Methyl_D_Glucoside";NA;"PM_01";NA
"NRRL_3483";"2";"Adonitol";NA;"PM_01";NA
"NRRL_3483";"2";"Maltotriose";NA;"PM_01";"C01835[c]"
"NRRL_3483";"2";"2__Deoxy_Adenosine";FALSE;"PM_01";"C05198[c]"
"NRRL_3483";"2";"Adenosine";FALSE;"PM_01";"C00212[c]"
"NRRL_3483";"2";"Gly_Asp";FALSE;"PM_01";NA
"NRRL_3483";"2";"Citric_Acid";FALSE;"PM_01";"C00158[e]"
"NRRL_3483";"2";"myo_Inositol";TRUE;"PM_01";NA
"NRRL_3483";"2";"D_Threonine";FALSE;"PM_01";NA
"NRRL_3483";"2";"Fumaric_Acid";FALSE;"PM_01";"C00122[e]"
"NRRL_3483";"2";"Bromo_Succinic_Acid";FALSE;"PM_01";NA
"NRRL_3483";"2";"Propionic_Acid";FALSE;"PM_01";"C00163[e]"
"NRRL_3483";"2";"Mucic_Acid";FALSE;"PM_01";NA
"NRRL_3483";"2";"Glycolic_Acid";FALSE;"PM_01";NA
"NRRL_3483";"2";"Glyoxylic_Acid";FALSE;"PM_01";"C00048[c]"
"NRRL_3483";"2";"D_Cellobiose";NA;"PM_01";"C00185[e]"
"NRRL_3483";"2";"Inosine";FALSE;"PM_01";"C00294[c]"
"NRRL_3483";"2";"Gly_Glu";FALSE;"PM_01";NA
"NRRL_3483";"2";"Tricarballylic_Acid";FALSE;"PM_01";NA
"NRRL_3483";"2";"L_Serine";FALSE;"PM_01";"C00065[e]"
"NRRL_3483";"2";"L_Threonine";NA;"PM_01";"C00188[e]"
"NRRL_3483";"2";"L_Alanine";NA;"PM_01";"C00041[e]"
"NRRL_3483";"2";"Ala_Gly";NA;"PM_01";NA
"NRRL_3483";"2";"Acetoacetic_Acid";FALSE;"PM_01";"C00164[c]"
"NRRL_3483";"2";"N_Acetyl_b_D_Mannosamine";FALSE;"PM_01";NA
"NRRL_3483";"2";"Mono_Methyl_Succinate";FALSE;"PM_01";NA
"NRRL_3483";"2";"Methyl_Pyruvate";FALSE;"PM_01";NA
"NRRL_3483";"2";"D_Malic_Acid";FALSE;"PM_01";NA
"NRRL_3483";"2";"L_Malic_Acid";FALSE;"PM_01";NA
"NRRL_3483";"2";"Gly_Pro";NA;"PM_01";NA
"NRRL_3483";"2";"p_Hydroxy_Phenylacetic_Acid";NA;"PM_01";NA
"NRRL_3483";"2";"m_Hydroxy_Phenylacetic_Acid";NA;"PM_01";NA
"NRRL_3483";"2";"Tyramine";NA;"PM_01";"C00483[c]"
"NRRL_3483";"2";"D_Psicose";FALSE;"PM_01";NA
"NRRL_3483";"2";"L_Lyxose";TRUE;"PM_01";NA
"NRRL_3483";"2";"Glucuronamide";FALSE;"PM_01";NA
"NRRL_3483";"2";"Pyruvic_Acid";FALSE;"PM_01";"C00022[e]"
"NRRL_3483";"2";"L_Galactonic_Acid_g_Lactone";FALSE;"PM_01";NA
"NRRL_3483";"2";"D_Galacturonic_Acid";FALSE;"PM_01";NA
"NRRL_3483";"2";"b_Phenylethylamine";FALSE;"PM_01";NA
"NRRL_3483";"2";"Ethanolamine";NA;"PM_01";"C00189[c]"
"NRRL_3483";"3";"Negative_Control";FALSE;"PM_01";NA
"NRRL_3483";"3";"L_Arabinose";TRUE;"PM_01";"C00259[e]"
"NRRL_3483";"3";"N_Acetyl_D_Glucosamine";TRUE;"PM_01";NA
"NRRL_3483";"3";"D_Saccharic_Acid";FALSE;"PM_01";NA
"NRRL_3483";"3";"Succinic_Acid";FALSE;"PM_01";"C00042[e]"
"NRRL_3483";"3";"D_Galactose";TRUE;"PM_01";"C00124[e]"
"NRRL_3483";"3";"L_Aspartic_Acid";FALSE;"PM_01";NA
"NRRL_3483";"3";"L_Proline";NA;"PM_01";"C00148[e]"
"NRRL_3483";"3";"D_Alanine";NA;"PM_01";"C00133[c]"
"NRRL_3483";"3";"D_Trehalose";TRUE;"PM_01";"C01083[e]"
"NRRL_3483";"3";"D_Mannose";NA;"PM_01";"C00159[e]"
"NRRL_3483";"3";"Dulcitol";TRUE;"PM_01";"C01697[e]"
"NRRL_3483";"3";"D_Serine";FALSE;"PM_01";NA
"NRRL_3483";"3";"D_Sorbitol";TRUE;"PM_01";"C00794[e]"
"NRRL_3483";"3";"Glycerol";NA;"PM_01";"C00116[e]"
"NRRL_3483";"3";"L_Fucose";FALSE;"PM_01";NA
"NRRL_3483";"3";"D_Glucuronic_Acid";FALSE;"PM_01";NA
"NRRL_3483";"3";"D_Gluconic_Acid";FALSE;"PM_01";NA
"NRRL_3483";"3";"D_L_a_Glycerol_Phosphate";FALSE;"PM_01";NA
"NRRL_3483";"3";"D_Xylose";TRUE;"PM_01";"C00181[e]"
"NRRL_3483";"3";"L_Lactic_Acid";FALSE;"PM_01";NA
"NRRL_3483";"3";"Sodium_Formate";FALSE;"PM_01";NA
"NRRL_3483";"3";"D_Mannitol";NA;"PM_01";"C00392[c]"
"NRRL_3483";"3";"L_Glutamic_Acid";NA;"PM_01";"C00025[e]"
"NRRL_3483";"3";"D_Glucose_6_Phosphate";FALSE;"PM_01";NA
"NRRL_3483";"3";"D_Galactonic_Acid_g_Lactone";FALSE;"PM_01";NA
"NRRL_3483";"3";"D_L_Malic_Acid";FALSE;"PM_01";NA
"NRRL_3483";"3";"D_Ribose";TRUE;"PM_01";"C00121[e]"
"NRRL_3483";"3";"Tween_20";FALSE;"PM_01";NA
"NRRL_3483";"3";"L_Rhamnose";TRUE;"PM_01";NA
"NRRL_3483";"3";"D_Fructose";TRUE;"PM_01";"C00095[e]"
"NRRL_3483";"3";"Acetic_Acid";FALSE;"PM_01";"C00033[e]"
"NRRL_3483";"3";"D_Glucose";NA;"PM_01";"C00031[e]"
"NRRL_3483";"3";"D_Maltose";NA;"PM_01";"C00208[e]"
"NRRL_3483";"3";"D_Melibiose";NA;"PM_01";"C05402[e]"
"NRRL_3483";"3";"Thymidine";FALSE;"PM_01";"C00214[c]"
"NRRL_3483";"3";"L_Asparagine";FALSE;"PM_01";"C00152[e]"
"NRRL_3483";"3";"D_Aspartic_Acid";FALSE;"PM_01";NA
"NRRL_3483";"3";"D_Glucosaminic_Acid";FALSE;"PM_01";NA
"NRRL_3483";"3";"1_2_Propanediol";FALSE;"PM_01";NA
"NRRL_3483";"3";"Tween_40";FALSE;"PM_01";NA
"NRRL_3483";"3";"a_Keto_Glutaric_Acid";FALSE;"PM_01";NA
"NRRL_3483";"3";"a_Keto_Butyric_Acid";FALSE;"PM_01";NA
"NRRL_3483";"3";"a_Methyl_D_Galactoside";FALSE;"PM_01";NA
"NRRL_3483";"3";"a_D_Lactose";FALSE;"PM_01";NA
"NRRL_3483";"3";"Lactulose";FALSE;"PM_01";NA
"NRRL_3483";"3";"Sucrose";NA;"PM_01";"C00089[e]"
"NRRL_3483";"3";"Uridine";FALSE;"PM_01";"C00299[c]"
"NRRL_3483";"3";"L_Glutamine";NA;"PM_01";"C00064[e]"
"NRRL_3483";"3";"m_Tartaric_Acid";FALSE;"PM_01";NA
"NRRL_3483";"3";"a_D_Glucose_1_Phosphate";FALSE;"PM_01";NA
"NRRL_3483";"3";"D_Fructose_6_Phosphate";FALSE;"PM_01";NA
"NRRL_3483";"3";"Tween_80";FALSE;"PM_01";NA
"NRRL_3483";"3";"a_Hydroxy_Glutaric_Acid_g_Lactone";FALSE;"PM_01";NA
"NRRL_3483";"3";"a_Hydroxy_Butyric_Acid";FALSE;"PM_01";NA
"NRRL_3483";"3";"b_Methyl_D_Glucoside";NA;"PM_01";NA
"NRRL_3483";"3";"Adonitol";NA;"PM_01";NA
"NRRL_3483";"3";"Maltotriose";NA;"PM_01";"C01835[c]"
"NRRL_3483";"3";"2__Deoxy_Adenosine";FALSE;"PM_01";"C05198[c]"
"NRRL_3483";"3";"Adenosine";FALSE;"PM_01";"C00212[c]"
"NRRL_3483";"3";"Gly_Asp";FALSE;"PM_01";NA
"NRRL_3483";"3";"Citric_Acid";FALSE;"PM_01";"C00158[e]"
"NRRL_3483";"3";"myo_Inositol";NA;"PM_01";NA
"NRRL_3483";"3";"D_Threonine";FALSE;"PM_01";NA
"NRRL_3483";"3";"Fumaric_Acid";FALSE;"PM_01";"C00122[e]"
"NRRL_3483";"3";"Bromo_Succinic_Acid";FALSE;"PM_01";NA
"NRRL_3483";"3";"Propionic_Acid";FALSE;"PM_01";"C00163[e]"
"NRRL_3483";"3";"Mucic_Acid";FALSE;"PM_01";NA
"NRRL_3483";"3";"Glycolic_Acid";FALSE;"PM_01";NA
"NRRL_3483";"3";"Glyoxylic_Acid";FALSE;"PM_01";"C00048[c]"
"NRRL_3483";"3";"D_Cellobiose";NA;"PM_01";"C00185[e]"
"NRRL_3483";"3";"Inosine";FALSE;"PM_01";"C00294[c]"
"NRRL_3483";"3";"Gly_Glu";FALSE;"PM_01";NA
"NRRL_3483";"3";"Tricarballylic_Acid";FALSE;"PM_01";NA
"NRRL_3483";"3";"L_Serine";FALSE;"PM_01";"C00065[e]"
"NRRL_3483";"3";"L_Threonine";NA;"PM_01";"C00188[e]"
"NRRL_3483";"3";"L_Alanine";NA;"PM_01";"C00041[e]"
"NRRL_3483";"3";"Ala_Gly";NA;"PM_01";NA
"NRRL_3483";"3";"Acetoacetic_Acid";FALSE;"PM_01";"C00164[c]"
"NRRL_3483";"3";"N_Acetyl_b_D_Mannosamine";FALSE;"PM_01";NA
"NRRL_3483";"3";"Mono_Methyl_Succinate";FALSE;"PM_01";NA
"NRRL_3483";"3";"Methyl_Pyruvate";FALSE;"PM_01";NA
"NRRL_3483";"3";"D_Malic_Acid";FALSE;"PM_01";NA
"NRRL_3483";"3";"L_Malic_Acid";FALSE;"PM_01";NA
"NRRL_3483";"3";"Gly_Pro";NA;"PM_01";NA
"NRRL_3483";"3";"p_Hydroxy_Phenylacetic_Acid";NA;"PM_01";NA
"NRRL_3483";"3";"m_Hydroxy_Phenylacetic_Acid";NA;"PM_01";NA
"NRRL_3483";"3";"Tyramine";NA;"PM_01";"C00483[c]"
"NRRL_3483";"3";"D_Psicose";FALSE;"PM_01";NA
"NRRL_3483";"3";"L_Lyxose";TRUE;"PM_01";NA
"NRRL_3483";"3";"Glucuronamide";FALSE;"PM_01";NA
"NRRL_3483";"3";"Pyruvic_Acid";FALSE;"PM_01";"C00022[e]"
"NRRL_3483";"3";"L_Galactonic_Acid_g_Lactone";NA;"PM_01";NA
"NRRL_3483";"3";"D_Galacturonic_Acid";NA;"PM_01";NA
"NRRL_3483";"3";"b_Phenylethylamine";FALSE;"PM_01";NA
"NRRL_3483";"3";"Ethanolamine";NA;"PM_01";"C00189[c]"
"NRRL_3488";"1";"Negative_Control";FALSE;"PM_01";NA
"NRRL_3488";"1";"L_Arabinose";TRUE;"PM_01";"C00259[e]"
"NRRL_3488";"1";"N_Acetyl_D_Glucosamine";NA;"PM_01";NA
"NRRL_3488";"1";"D_Saccharic_Acid";FALSE;"PM_01";NA
"NRRL_3488";"1";"Succinic_Acid";FALSE;"PM_01";"C00042[e]"
"NRRL_3488";"1";"D_Galactose";NA;"PM_01";"C00124[e]"
"NRRL_3488";"1";"L_Aspartic_Acid";FALSE;"PM_01";NA
"NRRL_3488";"1";"L_Proline";NA;"PM_01";"C00148[e]"
"NRRL_3488";"1";"D_Alanine";FALSE;"PM_01";"C00133[c]"
"NRRL_3488";"1";"D_Trehalose";NA;"PM_01";"C01083[e]"
"NRRL_3488";"1";"D_Mannose";NA;"PM_01";"C00159[e]"
"NRRL_3488";"1";"Dulcitol";NA;"PM_01";"C01697[e]"
"NRRL_3488";"1";"D_Serine";FALSE;"PM_01";NA
"NRRL_3488";"1";"D_Sorbitol";NA;"PM_01";"C00794[e]"
"NRRL_3488";"1";"Glycerol";TRUE;"PM_01";"C00116[e]"
"NRRL_3488";"1";"L_Fucose";FALSE;"PM_01";NA
"NRRL_3488";"1";"D_Glucuronic_Acid";FALSE;"PM_01";NA
"NRRL_3488";"1";"D_Gluconic_Acid";FALSE;"PM_01";NA
"NRRL_3488";"1";"D_L_a_Glycerol_Phosphate";FALSE;"PM_01";NA
"NRRL_3488";"1";"D_Xylose";TRUE;"PM_01";"C00181[e]"
"NRRL_3488";"1";"L_Lactic_Acid";FALSE;"PM_01";NA
"NRRL_3488";"1";"Sodium_Formate";FALSE;"PM_01";NA
"NRRL_3488";"1";"D_Mannitol";NA;"PM_01";"C00392[c]"
"NRRL_3488";"1";"L_Glutamic_Acid";FALSE;"PM_01";"C00025[e]"
"NRRL_3488";"1";"D_Glucose_6_Phosphate";FALSE;"PM_01";NA
"NRRL_3488";"1";"D_Galactonic_Acid_g_Lactone";FALSE;"PM_01";NA
"NRRL_3488";"1";"D_L_Malic_Acid";FALSE;"PM_01";NA
"NRRL_3488";"1";"D_Ribose";TRUE;"PM_01";"C00121[e]"
"NRRL_3488";"1";"Tween_20";FALSE;"PM_01";NA
"NRRL_3488";"1";"L_Rhamnose";NA;"PM_01";NA
"NRRL_3488";"1";"D_Fructose";NA;"PM_01";"C00095[e]"
"NRRL_3488";"1";"Acetic_Acid";FALSE;"PM_01";"C00033[e]"
"NRRL_3488";"1";"D_Glucose";NA;"PM_01";"C00031[e]"
"NRRL_3488";"1";"D_Maltose";NA;"PM_01";"C00208[e]"
"NRRL_3488";"1";"D_Melibiose";NA;"PM_01";"C05402[e]"
"NRRL_3488";"1";"Thymidine";FALSE;"PM_01";"C00214[c]"
"NRRL_3488";"1";"L_Asparagine";FALSE;"PM_01";"C00152[e]"
"NRRL_3488";"1";"D_Aspartic_Acid";FALSE;"PM_01";NA
"NRRL_3488";"1";"D_Glucosaminic_Acid";FALSE;"PM_01";NA
"NRRL_3488";"1";"1_2_Propanediol";FALSE;"PM_01";NA
"NRRL_3488";"1";"Tween_40";FALSE;"PM_01";NA
"NRRL_3488";"1";"a_Keto_Glutaric_Acid";FALSE;"PM_01";NA
"NRRL_3488";"1";"a_Keto_Butyric_Acid";FALSE;"PM_01";NA
"NRRL_3488";"1";"a_Methyl_D_Galactoside";FALSE;"PM_01";NA
"NRRL_3488";"1";"a_D_Lactose";FALSE;"PM_01";NA
"NRRL_3488";"1";"Lactulose";FALSE;"PM_01";NA
"NRRL_3488";"1";"Sucrose";NA;"PM_01";"C00089[e]"
"NRRL_3488";"1";"Uridine";FALSE;"PM_01";"C00299[c]"
"NRRL_3488";"1";"L_Glutamine";NA;"PM_01";"C00064[e]"
"NRRL_3488";"1";"m_Tartaric_Acid";FALSE;"PM_01";NA
"NRRL_3488";"1";"a_D_Glucose_1_Phosphate";FALSE;"PM_01";NA
"NRRL_3488";"1";"D_Fructose_6_Phosphate";FALSE;"PM_01";NA
"NRRL_3488";"1";"Tween_80";FALSE;"PM_01";NA
"NRRL_3488";"1";"a_Hydroxy_Glutaric_Acid_g_Lactone";FALSE;"PM_01";NA
"NRRL_3488";"1";"a_Hydroxy_Butyric_Acid";FALSE;"PM_01";NA
"NRRL_3488";"1";"b_Methyl_D_Glucoside";NA;"PM_01";NA
"NRRL_3488";"1";"Adonitol";FALSE;"PM_01";NA
"NRRL_3488";"1";"Maltotriose";NA;"PM_01";"C01835[c]"
"NRRL_3488";"1";"2__Deoxy_Adenosine";FALSE;"PM_01";"C05198[c]"
"NRRL_3488";"1";"Adenosine";FALSE;"PM_01";"C00212[c]"
"NRRL_3488";"1";"Gly_Asp";FALSE;"PM_01";NA
"NRRL_3488";"1";"Citric_Acid";FALSE;"PM_01";"C00158[e]"
"NRRL_3488";"1";"myo_Inositol";TRUE;"PM_01";NA
"NRRL_3488";"1";"D_Threonine";FALSE;"PM_01";NA
"NRRL_3488";"1";"Fumaric_Acid";FALSE;"PM_01";"C00122[e]"
"NRRL_3488";"1";"Bromo_Succinic_Acid";FALSE;"PM_01";NA
"NRRL_3488";"1";"Propionic_Acid";FALSE;"PM_01";"C00163[e]"
"NRRL_3488";"1";"Mucic_Acid";FALSE;"PM_01";NA
"NRRL_3488";"1";"Glycolic_Acid";NA;"PM_01";NA
"NRRL_3488";"1";"Glyoxylic_Acid";FALSE;"PM_01";"C00048[c]"
"NRRL_3488";"1";"D_Cellobiose";NA;"PM_01";"C00185[e]"
"NRRL_3488";"1";"Inosine";FALSE;"PM_01";"C00294[c]"
"NRRL_3488";"1";"Gly_Glu";FALSE;"PM_01";NA
"NRRL_3488";"1";"Tricarballylic_Acid";FALSE;"PM_01";NA
"NRRL_3488";"1";"L_Serine";FALSE;"PM_01";"C00065[e]"
"NRRL_3488";"1";"L_Threonine";FALSE;"PM_01";"C00188[e]"
"NRRL_3488";"1";"L_Alanine";NA;"PM_01";"C00041[e]"
"NRRL_3488";"1";"Ala_Gly";NA;"PM_01";NA
"NRRL_3488";"1";"Acetoacetic_Acid";FALSE;"PM_01";"C00164[c]"
"NRRL_3488";"1";"N_Acetyl_b_D_Mannosamine";FALSE;"PM_01";NA
"NRRL_3488";"1";"Mono_Methyl_Succinate";FALSE;"PM_01";NA
"NRRL_3488";"1";"Methyl_Pyruvate";FALSE;"PM_01";NA
"NRRL_3488";"1";"D_Malic_Acid";FALSE;"PM_01";NA
"NRRL_3488";"1";"L_Malic_Acid";FALSE;"PM_01";NA
"NRRL_3488";"1";"Gly_Pro";NA;"PM_01";NA
"NRRL_3488";"1";"p_Hydroxy_Phenylacetic_Acid";TRUE;"PM_01";NA
"NRRL_3488";"1";"m_Hydroxy_Phenylacetic_Acid";FALSE;"PM_01";NA
"NRRL_3488";"1";"Tyramine";NA;"PM_01";"C00483[c]"
"NRRL_3488";"1";"D_Psicose";FALSE;"PM_01";NA
"NRRL_3488";"1";"L_Lyxose";TRUE;"PM_01";NA
"NRRL_3488";"1";"Glucuronamide";FALSE;"PM_01";NA
"NRRL_3488";"1";"Pyruvic_Acid";FALSE;"PM_01";"C00022[e]"
"NRRL_3488";"1";"L_Galactonic_Acid_g_Lactone";FALSE;"PM_01";NA
"NRRL_3488";"1";"D_Galacturonic_Acid";FALSE;"PM_01";NA
"NRRL_3488";"1";"b_Phenylethylamine";TRUE;"PM_01";NA
"NRRL_3488";"1";"Ethanolamine";FALSE;"PM_01";"C00189[c]"
"NRRL_3488";"2";"Negative_Control";FALSE;"PM_01";NA
"NRRL_3488";"2";"L_Arabinose";TRUE;"PM_01";"C00259[e]"
"NRRL_3488";"2";"N_Acetyl_D_Glucosamine";NA;"PM_01";NA
"NRRL_3488";"2";"D_Saccharic_Acid";FALSE;"PM_01";NA
"NRRL_3488";"2";"Succinic_Acid";FALSE;"PM_01";"C00042[e]"
"NRRL_3488";"2";"D_Galactose";NA;"PM_01";"C00124[e]"
"NRRL_3488";"2";"L_Aspartic_Acid";FALSE;"PM_01";NA
"NRRL_3488";"2";"L_Proline";NA;"PM_01";"C00148[e]"
"NRRL_3488";"2";"D_Alanine";NA;"PM_01";"C00133[c]"
"NRRL_3488";"2";"D_Trehalose";NA;"PM_01";"C01083[e]"
"NRRL_3488";"2";"D_Mannose";NA;"PM_01";"C00159[e]"
"NRRL_3488";"2";"Dulcitol";NA;"PM_01";"C01697[e]"
"NRRL_3488";"2";"D_Serine";FALSE;"PM_01";NA
"NRRL_3488";"2";"D_Sorbitol";TRUE;"PM_01";"C00794[e]"
"NRRL_3488";"2";"Glycerol";NA;"PM_01";"C00116[e]"
"NRRL_3488";"2";"L_Fucose";FALSE;"PM_01";NA
"NRRL_3488";"2";"D_Glucuronic_Acid";FALSE;"PM_01";NA
"NRRL_3488";"2";"D_Gluconic_Acid";FALSE;"PM_01";NA
"NRRL_3488";"2";"D_L_a_Glycerol_Phosphate";FALSE;"PM_01";NA
"NRRL_3488";"2";"D_Xylose";TRUE;"PM_01";"C00181[e]"
"NRRL_3488";"2";"L_Lactic_Acid";FALSE;"PM_01";NA
"NRRL_3488";"2";"Sodium_Formate";FALSE;"PM_01";NA
"NRRL_3488";"2";"D_Mannitol";NA;"PM_01";"C00392[c]"
"NRRL_3488";"2";"L_Glutamic_Acid";FALSE;"PM_01";"C00025[e]"
"NRRL_3488";"2";"D_Glucose_6_Phosphate";FALSE;"PM_01";NA
"NRRL_3488";"2";"D_Galactonic_Acid_g_Lactone";FALSE;"PM_01";NA
"NRRL_3488";"2";"D_L_Malic_Acid";FALSE;"PM_01";NA
"NRRL_3488";"2";"D_Ribose";TRUE;"PM_01";"C00121[e]"
"NRRL_3488";"2";"Tween_20";FALSE;"PM_01";NA
"NRRL_3488";"2";"L_Rhamnose";NA;"PM_01";NA
"NRRL_3488";"2";"D_Fructose";FALSE;"PM_01";"C00095[e]"
"NRRL_3488";"2";"Acetic_Acid";FALSE;"PM_01";"C00033[e]"
"NRRL_3488";"2";"D_Glucose";NA;"PM_01";"C00031[e]"
"NRRL_3488";"2";"D_Maltose";NA;"PM_01";"C00208[e]"
"NRRL_3488";"2";"D_Melibiose";NA;"PM_01";"C05402[e]"
"NRRL_3488";"2";"Thymidine";FALSE;"PM_01";"C00214[c]"
"NRRL_3488";"2";"L_Asparagine";NA;"PM_01";"C00152[e]"
"NRRL_3488";"2";"D_Aspartic_Acid";FALSE;"PM_01";NA
"NRRL_3488";"2";"D_Glucosaminic_Acid";FALSE;"PM_01";NA
"NRRL_3488";"2";"1_2_Propanediol";FALSE;"PM_01";NA
